tipo,latitude,longitude,bright,date,admin2,admin3,country_code,country_es
24h,63.89644,-22.22358,306.99, 3 de agosto,NA,Suðurnes,IS,Islandia
24h,63.89311,-22.22581,324.88, 3 de agosto,NA,Suðurnes,IS,Islandia
24h,63.89417,-22.22341,321.77, 3 de agosto,NA,Suðurnes,IS,Islandia
24h,63.89085,-22.22567,299.45, 3 de agosto,NA,Suðurnes,IS,Islandia
24h,78.05544,14.21955,328.88, 3 de agosto,Barentsburg,Svalbard,NO,Noruega
24h,37.70414,33.3441,331.09, 3 de agosto,Karapınar,Konya,TR,Turquía
24h,38.48596,32.31486,343.15, 3 de agosto,Kadınhanı,Konya,TR,Turquía
24h,38.98645,31.90865,347.8, 3 de agosto,Adakasım Mahallesi,Konya,TR,Turquía
24h,38.98767,31.76965,356.14, 3 de agosto,Yukarıaliçomak Mahallesi,Konya,TR,Turquía
24h,39.04829,31.90254,343.85, 3 de agosto,Gökpınar Mahallesi,Konya,TR,Turquía
24h,39.04688,31.8965,340.95, 3 de agosto,Gökpınar Mahallesi,Konya,TR,Turquía
24h,39.05272,31.90069,343.87, 3 de agosto,Gökpınar Mahallesi,Konya,TR,Turquía
24h,39.04801,31.90186,340.61, 3 de agosto,Gökpınar Mahallesi,Konya,TR,Turquía
24h,39.05244,31.90003,348.71, 3 de agosto,Gökpınar Mahallesi,Konya,TR,Turquía
24h,39.82164,28.12251,335.48, 3 de agosto,Susurluk,Balıkesir,TR,Turquía
24h,39.82674,28.11967,335.84, 3 de agosto,Susurluk,Balıkesir,TR,Turquía
24h,41.45753,26.67556,340.83, 3 de agosto,Elçili Köyü,Edirne,TR,Turquía
24h,41.46288,26.67303,367, 3 de agosto,Elçili Köyü,Edirne,TR,Turquía
24h,42.36089,21.38851,348.96, 3 de agosto,Komuna e Kllokotit / Opština Klokot,NA,XK,Kosovo
24h,44.26877,27.14245,332.19, 3 de agosto,Potcoava,Călărași,RO,Rumanía
24h,42.51697,21.20962,367, 3 de agosto,Komuna e Lipjanit / Opština Lipljan,NA,XK,Kosovo
24h,42.51417,21.20138,344.46, 3 de agosto,Komuna e Lipjanit / Opština Lipljan,NA,XK,Kosovo
24h,45.37409,30.92802,331.84, 3 de agosto,NA,NA,NA,Mundo
24h,44.18704,23.08471,329.21, 3 de agosto,Gemeni,Mehedinți,RO,Rumanía
24h,44.19271,23.08137,346.66, 3 de agosto,Gemeni,Mehedinți,RO,Rumanía
24h,44.1908,22.98921,328.48, 3 de agosto,Obârșia de Câmp,Mehedinți,RO,Rumanía
24h,44.19648,22.98584,351.96, 3 de agosto,Obârșia de Câmp,Mehedinți,RO,Rumanía
24h,44.1946,22.97979,328.94, 3 de agosto,Obârșia de Câmp,Mehedinți,RO,Rumanía
24h,44.19019,22.98452,347.72, 3 de agosto,Obârșia de Câmp,Mehedinți,RO,Rumanía
24h,44.19588,22.98116,343.16, 3 de agosto,Obârșia de Câmp,Mehedinți,RO,Rumanía
24h,44.34478,22.9996,332.95, 3 de agosto,Ștircovița,Mehedinți,RO,Rumanía
24h,61.21299,17.15627,349.3, 3 de agosto,Söderhamns kommun,Gävleborgs län,SE,Suecia
24h,61.21877,17.15915,335.79, 3 de agosto,Söderhamns kommun,Gävleborgs län,SE,Suecia
